# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
9884	31.7934	23.4624	2.01
9977	32.1219	37.8591	4.78
9990	32.1691	58.4236	5.66
10035	32.2887	-43.5166	5.84
10053	32.3556	25.9399	4.98
10064	32.3859	34.9873	3
10155	32.6567	19.5003	5.68
10212	32.8378	8.5698	5.64
10215	32.8426	-10.0522	6
10234	32.8993	-1.8254	5.94
10280	33.0928	30.3031	4.94
10296	33.1564	24.1678	5.96
10305	33.1981	-2.3936	5.65
10306	33.2004	21.2110	5.23
10320	33.2270	-30.7238	5.27
10324	33.2500	8.8467	4.36
10326	33.2541	-21.0001	5.86
10328	33.2638	15.2799	5.72
10340	33.3055	44.2317	4.84
10366	33.4014	51.0658	5.31
10418	33.5606	-67.8414	5.57
10440	33.6331	-41.1668	5.91
10513	33.8693	-67.7464	5.67
10535	33.9282	25.0430	5.57
10540	33.9419	25.7829	5.79
10559	33.9845	33.3589	5.25
10602	34.1274	-51.5122	3.56
10642	34.2460	-6.4221	5.51
10644	34.2635	34.2242	4.84
10670	34.3286	33.8472	4.03
10718	34.4995	57.8998	5.75
10723	34.5060	1.7578	5.6
10729	34.5191	57.5163	5.99
10732	34.5314	19.9012	5.58
10793	34.7375	28.6427	5.29
10819	34.8200	47.3800	5.31
10871	34.9761	-55.9448	5.81
10944	35.2425	50.1515	5.57
11001	35.4373	-68.6594	4.08
11021	35.4859	0.3957	5.29
11029	35.5064	-10.7775	5.43
11033	35.5208	-17.6622	5.89
11046	35.5517	-0.8849	5.42
11060	35.5893	55.8457	5.16
11072	35.6356	-23.8163	5.19
11090	35.7096	41.3963	5.81
11095	35.7179	-73.6458	5.99
11102	35.7278	-51.0921	5.9
11220	36.1038	50.0065	5.19
11249	36.2044	10.6106	5.48
11258	36.2246	-60.3119	5.36
11313	36.4059	50.2786	4.73
11345	36.4875	-12.2905	4.88
11348	36.5015	-15.3412	5.88
11381	36.6467	-20.0426	5.89
11407	36.7463	-47.7038	4.24
11432	36.8657	31.8013	5.55
11477	37.0071	-33.8110	5.13
11484	37.0398	8.4601	4.3
11486	37.0416	29.6693	5.29
11548	37.2021	29.9318	5.89
11569	37.2664	67.4025	4.46
11670	37.6348	25.2350	5.88
11687	37.6883	0.2557	6
11738	37.8754	2.2672	5.27
11757	37.9189	-79.1094	5.27
11767	37.9545	89.2641	1.97
11783	38.0218	-15.2447	4.74
11784	38.0257	36.1473	5.15
11791	38.0393	-1.0349	5.36
11840	38.2192	34.5424	5.84
11843	38.2256	15.0346	6
11867	38.2793	-34.6500	5.91
11918	38.4613	-28.2323	4.96
12002	38.6776	-7.8594	5.74
12072	38.9114	37.3123	5.72
12086	38.9450	34.6876	5.38
12093	38.9686	5.5932	4.87
12107	39.0002	-7.8316	5.53
12114	39.0204	6.8869	5.79
12122	39.0386	-30.0450	5.74
12148	39.1461	7.7300	5.81
12153	39.1580	12.4476	5.64
12181	39.2383	38.7336	5.91
12186	39.2442	-34.5780	5.78
12225	39.3515	-52.5431	5.3
12239	39.4003	65.7453	5.8
12247	39.4242	-3.3962	5.65
12273	39.5085	72.8183	5.17
12288	39.5778	-30.1941	5.84
12332	39.7041	21.9614	5.45
12387	39.8707	0.3285	4.08
12390	39.8910	-11.8722	4.83
12394	39.8973	-68.2669	4.12
12413	39.9500	-42.8917	4.74
12444	40.0518	-9.4529	5.79
12484	40.1651	-54.5499	5.21
12486	40.1668	-39.8554	4.11
12489	40.1711	27.0609	5.3
12530	40.3083	-0.6957	5.72
12562	40.3922	-14.5493	5.98
12608	40.5275	-38.3837	5.99
12623	40.5621	40.1939	4.91
12640	40.5914	20.0115	5.74
12653	40.6394	-50.8003	5.4
12686	40.7480	53.5261	5.85
